Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPoints
49,50054494,Ken Seals,VAND,QB,2,COLST,27,42,64.3,238,5.7,2,0,95.14,9,0,0,1,23.52
50,50042415,Chevan Cordeiro,HAWAII,QB,2,OREGST,24,49,49,366,7.5,2,2,70.62,13,48,3.7,0,23.44
51,50054703,DJ Uiagalelei,CLMSN,QB,2,SCARST,14,24,58.3,171,7.1,1,1,76.91,5,23,4.6,2,23.14
52,50028127,Todd Centeio,COLST,QB,2,VAND,20,38,52.6,238,6.3,2,1,78.62,11,75,6.8,0,23.02
53,50037857,Sam Hartman,WAKE,QB,2,NORFST,17,25,68,244,9.8,1,0,112.75,3,30,10,1,22.76
54,50026005,Kingsley Ifedi,NCAT,QB,2,DUKE,10,19,52.6,53,2.8,0,0,58.44,15,83,5.5,2,22.42
55,50036122,Clayton Tune,HOU,QB,2,RICE,22,30,73.3,236,7.9,2,0,118.19,9,49,5.4,0,22.34
55,50054069,Justin Ibieta,TULANE,QB,2,MORGST,13,21,61.9,166,7.9,2,2,78.77,4,57,14.2,1,22.34
57,50028668,Jarret Doege,WVIR,QB,2,LIUB,14,22,63.6,259,11.8,3,0,143.75,3,-3,-1,0,22.06
58,50048462,Jordon Brookshire,SDST,QB,2,ARZ,10,14,71.4,183,13.1,2,0,153.27,8,7,0.9,1,22.02
59,50048490,Hank Bachmeier,BOISE,QB,2,UTEP,17,24,70.8,340,14.2,2,0,140.97,3,-1,-0.3,0,21.5
