Rank,PlayerID,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPoints
585,50027036,Rory Walling,IOWAST,RB,1,NIOWA,0,0,0,0,0,0,0,0,0,0
585,50039125,Isaiah Phillips,LAMON,RB,1,UK,7,0,0,0,0,0,0,0,0,0
585,50032901,Maurice Burkley,LOU,RB,1,MISS,0,0,0,0,0,0,0,0,0,0
585,50055416,Quadre Nicholson,MIAOH,RB,1,CIN,0,0,0,0,0,0,0,0,0,0
585,50056617,Kentrel Bullock,MISS,RB,1,LOU,0,0,0,0,0,0,0,0,0,0
585,50029567,Jullen Ison,NCOL,RB,1,COL,0,0,0,0,0,0,0,1,0,0
585,50052905,Jaire Moore,NCOL,RB,1,COL,0,0,0,0,0,0,0,0,0,0
585,50068402,Vance McShane,NIOWA,RB,1,IOWAST,0,0,0,0,1,0,0,0,0,0
585,50059031,Bobby Wooden,NMX,RB,1,HOUBAP,0,0,0,0,0,0,0,0,0,0
585,50066950,Antonio Outler,SDAK,RB,1,KAN,0,0,0,0,0,0,0,0,0,0
