Rank,PlayerID,Name,Team,Position,Week,Opponent,Receptions,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPoints
176,50028023,Princeton Fant,TENN,TE,1,BOWLGR,1,6,0,6,6,0,0,0,0,0,0,0.6
176,50045994,Jayce Medlock,UCONN,TE,1,FREST,2,6,0,3,3,0,0,0,0,0,0,0.6
176,50041966,Jack Eschenbach,WISC,TE,1,PENNST,1,6,0,6,6,0,0,0,0,0,0,0.6
176,50058445,Colton Turner,WM,TE,1,VIR,1,6,0,6,6,0,0,0,0,0,0,0.6
184,50037589,Henry Pearson,APPLST,TE,1,ECAR,1,5,0,5,5,0,0,0,0,0,0,0.5
184,50036383,Joey Luchetti,BOSCOL,TE,1,COLG,1,5,0,5,5,0,0,0,0,0,0,0.5
184,50048476,Raymond Pauwels Jr.,FREST,TE,1,ORE,1,5,0,5,5,0,0,0,0,0,0,0.5
184,50043325,Luke Ford,ILL,TE,1,UTSA,1,5,0,5,5,0,0,0,0,0,0,0.5
184,50048574,Sean Brown,JAXST,TE,1,UAB,1,5,0,5,5,0,0,0,0,0,0,0.5
184,50029543,R.J. Fitzgerald,MONST,TE,1,WYOM,1,5,0,5,5,0,0,0,0,0,0,0.5
184,50000894,Sean Dykes,MPHS,TE,1,NICHLS,1,5,0,5,5,0,0,0,0,0,0,0.5
184,50048390,Jack Bradley,RICE,TE,1,ARK,1,5,0,5,5,0,0,0,0,0,0,0.5
184,50012571,Justin Rigg,UK,TE,1,LAMON,1,5,0,5,5,0,0,0,0,0,0,0.5
184,50037282,Thomas Yassmin,UTAH,TE,1,WEBST,1,6,0,6,6,1,-1,-1,0,0,0,0.5
184,50027103,Jelani Woods,VIR,TE,1,WM,1,5,0,5,5,0,0,0,0,0,0,0.5
184,50037313,Devin Culp,WASH,TE,1,MONT,1,5,0,5,5,0,0,0,0,0,0,0.5
184,50014808,Mason Sikes,WILL,TE,1,BALLST,1,5,0,5,5,0,0,0,0,0,0,0.5
197,50036386,Brendan Smith,BOSCOL,TE,1,COLG,1,4,0,4,4,0,0,0,0,0,0,0.4
197,50032711,Jake Tonges,CAH,TE,1,NEVADA,1,4,0,4,4,0,0,0,0,0,0,0.4
197,50039968,Matt Alaimo,RUTGER,TE,1,TEMPL,1,4,0,4,4,0,0,0,0,0,0,0.4
197,50040851,Jacob Warren,TENN,TE,1,BOWLGR,1,4,0,4,4,0,0,0,0,0,0,0.4
197,50031237,Nathan Karsjens,WILL,TE,1,BALLST,1,4,0,4,4,0,0,0,0,0,0,0.4
202,50055893,Caden Prieskorn,MPHS,TE,1,NICHLS,1,3,0,3,3,0,0,0,0,0,0,0.3
203,50058848,AJ Barner,IND,TE,1,IOWA,1,2,0,2,2,0,0,0,0,0,0,0.2
204,50061337,Lee Negrotto,NICHLS,TE,1,MPHS,1,1,0,1,1,0,0,0,0,0,0,0.1
204,50031017,Jacob Logan,NWST,TE,1,NTX,1,1,0,1,1,0,0,0,0,0,0,0.1
204,50061016,Sameer Parks,STFPA,TE,1,EMICH,1,1,0,1,1,0,0,0,0,0,0,0.1
204,50032930,Drake DeIuliis,VTECH,TE,1,NCAR,1,1,0,1,1,0,0,0,0,0,0,0.1
208,50045788,Jahleel Billingsley,ALA,TE,1,MIA,0,0,0,0,0,0,0,0,0,0,0,0
208,50063647,Casey Coll,BALLST,TE,1,WILL,0,0,0,0,0,0,0,0,0,0,0,0
208,50059032,Austin Bolt,BOISE,TE,1,UCF,0,0,0,0,0,0,0,0,0,0,0,0
208,50011445,Collin Moore,CAH,TE,1,NEVADA,0,0,0,0,0,0,0,0,0,0,0,0
208,50042051,Nick Alftin,CAH,TE,1,NEVADA,0,0,0,0,0,0,0,0,0,0,0,0
208,50065489,Messiah Jones,EWASH,TE,1,UNLV,0,0,0,0,0,0,0,0,0,0,0,0
208,50047362,Kamareon Williams,FLINT,TE,1,LIUB,0,0,0,0,0,0,0,0,0,0,0,0
