Rank,PlayerID,Name,Team,Position,Week,Opponent,Receptions,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPoints
291,50058219,Parker Washington,PENNST,WR,1,WISC,4,47,0,24,11.8,0,0,0,0,0,0,4.7
291,50056280,Jaylon Barden,PITT,WR,1,UMASS,1,47,0,47,47,0,0,0,0,1,0,4.7
291,50048388,Jake Bailey,RICE,WR,1,ARK,4,47,0,20,11.8,0,0,0,0,0,0,4.7
291,50046473,Charles Ross,SJST,WR,1,USC,3,47,0,32,15.7,0,0,0,0,0,0,4.7
291,50036591,Justin McGriff,UTAHST,WR,1,WASHST,4,47,0,19,11.8,0,0,0,0,0,0,4.7
300,50038684,Tyquan Thornton,BAYL,WR,1,TXST,5,46,0,13,9.2,0,0,0,0,0,0,4.6
300,50037293,Austin Osborne,BOWLGR,WR,1,TENN,8,46,0,24,5.8,0,0,0,0,0,0,4.6
300,50038485,Jaray Jenkins,LSU,WR,1,UCLA,3,46,0,17,15.3,0,0,0,0,0,0,4.6
300,50046134,Emery Simmons,NCAR,WR,1,VTECH,3,46,0,23,15.3,0,0,0,0,0,0,4.6
300,50025221,Samori Toure,NEBR,WR,1,ILL,3,37,0,16,12.3,2,9,4.5,0,0,0,4.6
300,50068499,Luke Wysong,NMX,WR,1,HOUBAP,6,48,0,22,8,1,-2,-2,0,0,0,4.6
300,50026851,Jaylen Hall,WMICH,WR,1,MICH,3,46,0,29,15.3,0,0,0,0,0,0,4.6
307,50052825,Cavon Croom,BOWLGR,WR,1,TENN,5,45,0,12,9,0,0,0,0,0,0,4.5
307,50067123,Jaden Bradley,PITT,WR,1,UMASS,2,45,0,28,22.5,0,0,0,0,0,0,4.5
307,50046089,Ryan O'Keefe,UCF,WR,1,BOISE,3,45,0,31,15,0,0,0,0,0,0,4.5
310,50045720,Ja'Markis Weston,FL,WR,1,FLATL,3,44,0,36,14.7,0,0,0,0,0,0,4.4
310,50056182,Tyson Thompson,HOUBAP,WR,1,NMX,6,44,0,14,7.3,0,0,0,0,1,0,4.4
312,50056978,Roman Wilson,MICH,WR,1,WMICH,0,0,0,0,0,1,43,43,0,0,0,4.3
312,50009565,Jay Griffin IV,NWST,WR,1,NTX,0,0,0,0,0,1,43,43,0,0,0,4.3
312,50048402,De'Corian Clark,UTSA,WR,1,ILL,1,43,0,43,43,0,0,0,0,0,0,4.3
312,50037918,Bryce Ford-Wheaton,WVIR,WR,1,MARY,3,43,0,19,14.3,0,0,0,0,0,0,4.3
316,50053018,P.J. Wells,JAXST,WR,1,UAB,3,42,0,26,14,0,0,0,0,0,0,4.2
316,50054319,Quentin Johnston,TCU,WR,1,DUQ,4,38,0,12,9.5,1,4,4,0,0,0,4.2
316,50046351,Winston Wright Jr.,WVIR,WR,1,MARY,6,42,0,20,7,0,0,0,0,1,1,4.2
319,50043767,Darryl Powell Jr.,BCOOK,WR,1,UTEP,1,41,0,41,41,0,0,0,0,0,0,4.1
319,50006262,Isaiah Graham,LOUTCH,WR,1,MSPST,3,41,0,29,13.7,0,0,0,0,0,0,4.1
319,50063483,Bryson Green,OKST,WR,1,MSRST,3,41,0,14,13.7,0,0,0,0,0,0,4.1
319,50045698,Chase Lane,TXAM,WR,1,KENTST,3,41,0,14,13.7,0,0,0,0,0,0,4.1
319,50033356,Randal Grimes,WEBST,WR,1,UTAH,2,41,0,36,20.5,1,0,0,0,0,0,4.1
324,50045837,Treylon Burks,ARK,WR,1,RICE,5,42,0,17,8.4,1,-2,-2,0,0,0,4
324,50026333,Josh Johnson,LOU,WR,1,MISS,6,40,0,13,6.7,0,0,0,0,0,0,4
324,50054695,Key'Shawn Smith,MIA,WR,1,ALA,4,40,0,20,10,0,0,0,0,0,0,4
324,50045628,Mycah Pittman,ORE,WR,1,FREST,3,40,0,26,13.3,0,0,0,0,0,0,4
328,50048797,Jalen Kelsey,CAMP,WR,1,LIBRTY,2,39,0,24,19.5,0,0,0,0,0,0,3.9
328,50026581,Kalil Pimpleton,CMICH,WR,1,MISSR,4,38,0,27,9.5,1,1,1,0,1,0,3.9
328,50065175,Dylan Summers,EMICH,WR,1,STFPA,3,39,0,28,13,0,0,0,0,0,0,3.9
328,50041911,Braden Lenzy,ND,WR,1,FLST,2,39,0,24,19.5,0,0,0,0,0,0,3.9
